standort_id,patch_idx,patch_row,patch_col,patch_x_mm,patch_y_mm,patch_size_px,valid_ratio,roughness_index,var_Nz,surface_entropy_Nz,albedo_variance,skewness_Nz,kurtosis_Nz,edge_mean,edge_std,edge_p95,edge_density_global,std_Nx,std_Ny,albedo_mean,mean_deviation_deg
S002,41,5,6,300,250,193,0.784799591935354,0.379479919147679,0.007555054035037756,2.625502807026036,0.07804946601390839,-1.9959523677825928,5.046049118041992,0.288411408662796,0.2559695541858673,0.8062778115272522,0.11175726063010981,0.25053247809410095,0.28502365946769714,0.9240771532058716,21.38385581970215
S002,42,6,0,0,300,193,0.4658380090740691,,,,,,,,,,,,,,
S002,43,6,1,50,300,193,0.6908104915568203,,,,,,,,,,,,,,
S002,44,6,2,100,300,193,0.8055518268946817,0.34724611053293697,0.005040445830672979,2.421428278176635,0.09727724641561508,-2.0172417163848877,5.391046524047852,0.25088003277778625,0.21209433674812317,0.6637396216392517,0.07165233619942678,0.2598356604576111,0.2303590476512909,0.9592199921607971,18.954259872436523
S002,45,6,3,150,300,193,0.8045316652796048,0.39254707911520664,0.007842889986932278,2.685991117640287,0.07846590131521225,-1.65247642993927,3.1920580863952637,0.30876848101615906,0.2506972849369049,0.8127710223197937,0.1228310197544047,0.2941007912158966,0.2599960267543793,0.9091559648513794,21.913219451904297
S002,46,6,4,200,300,193,0.8418212569464952,0.3880012301425688,0.007171343546360731,2.6706601778351162,0.08477930724620819,-1.6634126901626587,3.332730293273926,0.3124925494194031,0.2525086998939514,0.8048195242881775,0.12612813725802852,0.2887667715549469,0.259149968624115,0.9427009224891663,21.880409240722656
S002,47,6,5,250,300,193,0.7713495664313136,0.3816614841914698,0.007894138805568218,2.628230289084222,0.07455664873123169,-2.1367924213409424,6.398754119873047,0.29165831208229065,0.25034675002098083,0.7997598648071289,0.10918140052902688,0.2759699523448944,0.26364004611968994,0.9189908504486084,21.4859561920166
S002,48,6,6,300,300,193,0.5019463609761335,,,,,,,,,,,,,,
S003,0,0,0,0,0,193,0.3296195871030095,,,,,,,,,,,,,,
S003,1,0,1,50,0,193,0.5426185937877527,,,,,,,,,,,,,,
S003,2,0,2,100,0,193,0.5867271604606835,,,,,,,,,,,,,,
S003,3,0,3,150,0,193,0.6809041853472576,,,,,,,,,,,,,,
S003,4,0,4,200,0,193,0.6601251040296384,,,,,,,,,,,,,,
S003,5,0,5,250,0,193,0.6021906628365862,,,,,,,,,,,,,,
S003,6,0,6,300,0,193,0.46484469381728366,,,,,,,,,,,,,,
S003,7,1,0,0,50,193,0.514859459314344,,,,,,,,,,,,,,
S003,8,1,1,50,50,193,0.7912158715670219,0.30674435274925166,0.003712273668497801,2.152569012715251,0.05542953684926033,-2.4908907413482666,8.629430770874023,0.22740702331066132,0.21347874402999878,0.6443600058555603,0.08102605863192182,0.21256272494792938,0.22115421295166016,0.8949476480484009,16.24909019470215
S003,9,1,2,100,50,193,0.9040779618244785,0.33009429471342655,0.0042302608489990234,2.2940088045671354,0.0876278430223465,-2.143017053604126,6.215558052062988,0.2434285283088684,0.21604952216148376,0.6701264381408691,0.0935978144672764,0.23499099910259247,0.23182207345962524,0.9689466953277588,17.671058654785156
S003,10,1,3,150,50,193,0.8973663722516041,0.36207276387408477,0.005082814488559961,2.4761779954382215,0.08989500254392624,-1.7009637355804443,3.4840097427368164,0.2785934805870056,0.22275666892528534,0.7220346331596375,0.12122300005983366,0.26740562915802,0.2441125065088272,0.9459487795829773,19.53860092163086
S003,11,1,4,200,50,193,0.8967757523691912,0.36460625026778964,0.005182570777833462,2.4893868316500947,0.11204895377159119,-1.6759774684906006,3.4268860816955566,0.2717982232570648,0.22534038126468658,0.7281407117843628,0.11750089809603641,0.2672995328903198,0.2479691058397293,0.9746797680854797,19.683917999267578
S003,12,1,5,250,50,193,0.8425461086203656,0.33383512206645855,0.004295033868402243,2.3128845246286707,0.09858842194080353,-2.149778366088867,6.243651390075684,0.24453014135360718,0.21195147931575775,0.6524961590766907,0.08555314810094315,0.238931342959404,0.23314738273620605,0.9427595734596252,17.847684860229492
